CarrierName,Date,NumFlights,ProportionalCancellations,ProportionalDelays
American Eagle Airlines Inc.,01/16/01,1419,0.0845665961945,0.248155737705
American Eagle Airlines Inc.,01/17/01,1421,0.0767065446868,0.150623078612
American Eagle Airlines Inc.,01/18/01,1419,0.0662438336857,0.172892310617
American Eagle Airlines Inc.,01/19/01,1423,0.115952213633,0.193516882818
American Eagle Airlines Inc.,01/20/01,1187,0.0943555181129,0.136281417423
American Eagle Airlines Inc.,01/21/01,1349,0.119347664937,0.341527147551
American Eagle Airlines Inc.,01/22/01,1422,0.0724331926864,0.191805991921
American Eagle Airlines Inc.,01/23/01,1422,0.056258790436,0.059066449756
American Eagle Airlines Inc.,01/24/01,1422,0.0337552742616,0.14511356366
American Eagle Airlines Inc.,01/25/01,1422,0.0351617440225,0.0765231606169
American Eagle Airlines Inc.,01/26/01,1421,0.0837438423645,0.271317083894
American Eagle Airlines Inc.,01/27/01,1178,0.0551782682513,0.102808760075
American Eagle Airlines Inc.,01/28/01,1342,0.0543964232489,0.176507713885
American Eagle Airlines Inc.,01/29/01,1420,0.107042253521,0.236446437329
American Eagle Airlines Inc.,01/30/01,1413,0.132342533616,0.228177641654
American Eagle Airlines Inc.,01/31/01,1435,0.0885017421603,0.202977604701
American Airlines Inc.,01/01/01,2034,0.0737463126844,0.207988927163
American Airlines Inc.,01/02/01,2136,0.0280898876404,0.121010624128
American Airlines Inc.,01/03/01,2130,0.0253521126761,0.126960251705
American Airlines Inc.,01/04/01,2125,0.0225882352941,0.0457834133113
American Airlines Inc.,01/05/01,2127,0.0644099670898,0.0625776518453
American Airlines Inc.,01/06/01,1931,0.0269290523045,0.0635466050229
American Airlines Inc.,01/07/01,2019,0.0153541357107,0.0502911322541
American Airlines Inc.,01/08/01,2126,0.0399811853246,0.0405882501433
American Airlines Inc.,01/09/01,2129,0.040864255519,0.0402528240796
American Airlines Inc.,01/10/01,2128,0.0460526315789,0.0594255695278
American Airlines Inc.,01/11/01,2126,0.0409219190969,0.0450539983055
American Airlines Inc.,01/12/01,2129,0.0352278064819,0.0605336745145
American Airlines Inc.,01/13/01,1929,0.0196993260757,0.0361038143079
American Airlines Inc.,01/14/01,2019,0.0525012382368,0.0502755235701
American Airlines Inc.,01/15/01,2129,0.0605918271489,0.0418980220712
American Airlines Inc.,01/16/01,2129,0.028651949272,0.0511487400746
American Airlines Inc.,01/17/01,2128,0.031015037594,0.0362409432661
American Airlines Inc.,01/18/01,2129,0.195396899953,0.0399590500937
American Airlines Inc.,01/19/01,2129,0.0450915922969,0.0731515627834
American Airlines Inc.,01/20/01,1929,0.0585795749093,0.0325777136235
American Airlines Inc.,01/21/01,2020,0.0866336633663,0.0647741240932
American Airlines Inc.,01/22/01,2125,0.0249411764706,0.0157495991496
American Airlines Inc.,01/23/01,2128,0.0343045112782,0.0181531006782
American Airlines Inc.,01/24/01,2126,0.032925682032,0.0313556860199
American Airlines Inc.,01/25/01,2129,0.0347581023955,0.0437147576465
American Airlines Inc.,01/26/01,2130,0.0478873239437,0.0845390731323
American Airlines Inc.,01/27/01,1932,0.0450310559006,0.0386261095105
American Airlines Inc.,01/28/01,2019,0.0564635958395,0.0513184714096
American Airlines Inc.,01/29/01,2127,0.10343206394,0.0448361726598
American Airlines Inc.,01/30/01,2120,0.052358490566,0.0317443069244
American Airlines Inc.,01/31/01,2124,0.0447269303202,0.0201391836604
Aloha Airlines Inc.,01/01/01,182,0.0,0.0583360954591
Aloha Airlines Inc.,01/02/01,182,0.010989010989,0.288548848159
Aloha Airlines Inc.,01/03/01,182,0.010989010989,0.0461407972858
Aloha Airlines Inc.,01/04/01,182,0.0164835164835,-0.0217879993083
Aloha Airlines Inc.,01/05/01,182,0.0,0.0257162581981
Aloha Airlines Inc.,01/06/01,182,0.010989010989,-0.0133561643836
Aloha Airlines Inc.,01/07/01,181,0.0,-0.00261233019854
Aloha Airlines Inc.,01/08/01,169,0.0118343195266,-0.016583747927
Aloha Airlines Inc.,01/09/01,167,0.0538922155689,0.0388920508442
Aloha Airlines Inc.,01/10/01,167,0.0059880239521,-0.0307073661122
Aloha Airlines Inc.,01/11/01,167,0.0,-0.0652254249815
Aloha Airlines Inc.,01/12/01,182,0.032967032967,0.0585759382673
Aloha Airlines Inc.,01/13/01,178,0.0224719101124,0.0375487070492
Aloha Airlines Inc.,01/14/01,180,0.0111111111111,-0.0252393385553
Aloha Airlines Inc.,01/15/01,169,0.0,-0.0228185469149
Aloha Airlines Inc.,01/16/01,167,0.0119760479042,-0.0117384013415
Aloha Airlines Inc.,01/17/01,167,0.0,-0.0562883150659
Aloha Airlines Inc.,01/18/01,167,0.0,0.0296920821114
Aloha Airlines Inc.,01/19/01,182,0.010989010989,-0.0138888888889
Aloha Airlines Inc.,01/20/01,177,0.0338983050847,0.075798109506
Aloha Airlines Inc.,01/21/01,180,0.0222222222222,-0.0251849242691
Aloha Airlines Inc.,01/22/01,169,0.0118343195266,-0.0246296626807
Aloha Airlines Inc.,01/23/01,167,0.0119760479042,-0.030442804428
Aloha Airlines Inc.,01/24/01,167,0.0119760479042,-0.0413023255814
Aloha Airlines Inc.,01/25/01,167,0.0119760479042,-0.00054914881933
